Sr2,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
307.16000,-173.15,3.17,0.00,0.00
307.18000,-173.31,3.18,0.00,0.00
307.20000,-173.46,3.18,0.00,0.00
307.22000,-173.62,3.18,0.00,0.00
307.24000,-173.78,3.18,0.00,0.00
307.26000,-173.93,3.19,0.00,0.00
307.28000,-174.09,3.19,0.00,0.00
307.30000,-174.25,3.19,0.00,0.00
307.32000,-174.40,3.19,0.00,0.00
307.34000,-174.56,3.20,0.00,0.00
307.36000,-174.72,3.20,0.00,0.00
307.38000,-174.88,3.20,0.00,0.00
307.40000,-175.03,3.20,0.00,0.00
307.42000,-175.19,3.20,0.00,0.00
307.44000,-175.35,3.21,0.00,0.00
307.46000,-175.51,3.21,0.00,0.00
307.48000,-175.67,3.21,0.00,0.00
307.50000,-175.83,3.21,0.00,0.00
307.52000,-175.99,3.22,0.00,0.00
307.54000,-176.14,3.22,0.00,0.00
307.56000,-176.30,3.22,0.00,0.00
307.58000,-176.46,3.22,0.00,0.00
307.60000,-176.62,3.23,0.00,0.00
307.62000,-176.78,3.23,0.00,0.00
307.64000,-176.94,3.23,0.00,0.00
307.66000,-177.11,3.23,0.00,0.00
307.68000,-177.27,3.23,0.00,0.00
307.70000,-177.43,3.24,0.00,0.00
307.72000,-177.59,3.24,0.00,0.00
307.74000,-177.75,3.24,0.00,0.00
307.76000,-177.91,3.24,0.00,0.00
307.78000,-178.07,3.25,0.00,0.00
307.80000,-178.24,3.25,0.00,0.00
307.82000,-178.40,3.25,0.00,0.00
307.84000,-178.56,3.25,0.00,0.00
307.86000,-178.72,3.26,0.00,0.00
307.88000,-178.89,3.26,0.00,0.00
307.90000,-179.05,3.26,0.00,0.00
307.92000,-179.21,3.26,0.00,0.00
307.94000,-179.38,3.27,0.00,0.00
307.96000,-179.54,3.27,0.00,0.00
307.98000,-179.70,3.27,0.00,0.00
308.00000,-179.87,3.27,0.00,0.00
308.02000,-180.03,3.28,0.00,0.00
308.04000,-180.20,3.28,0.00,0.00
308.06000,-180.36,3.28,0.00,0.00
308.08000,-180.53,3.28,0.00,0.00
308.10000,-180.69,3.28,0.00,0.00
308.12000,-180.86,3.29,0.00,0.00
308.14000,-181.02,3.29,0.00,0.00
308.16000,-181.19,3.29,0.00,0.00
308.18000,-181.36,3.29,0.00,0.00
308.20000,-181.52,3.30,0.00,0.00
308.22000,-181.69,3.30,0.00,0.00
308.24000,-181.86,3.30,0.00,0.00
308.26000,-182.02,3.30,0.00,0.00
308.28000,-182.19,3.31,0.00,0.00
308.30000,-182.36,3.31,0.00,0.00
308.32000,-182.53,3.31,0.00,0.00
308.34000,-182.69,3.31,0.00,0.00
308.36000,-182.86,3.32,0.00,0.00
308.38000,-183.03,3.32,0.00,0.00
308.40000,-183.20,3.32,0.00,0.00
308.42000,-183.37,3.32,0.00,0.00
308.44000,-183.54,3.33,0.00,0.00
308.46000,-183.71,3.33,0.00,0.00
308.48000,-183.88,3.33,0.00,0.00
308.50000,-184.05,3.33,0.00,0.00
308.52000,-184.22,3.34,0.00,0.00
308.54000,-184.39,3.34,0.00,0.00
308.56000,-184.56,3.34,0.00,0.00
308.58000,-184.73,3.34,0.00,0.00
308.60000,-184.90,3.35,0.00,0.00
308.62000,-185.07,3.35,0.00,0.00
308.64000,-185.24,3.35,0.00,0.00
308.66000,-185.41,3.35,0.00,0.00
308.68000,-185.59,3.36,0.00,0.00
308.70000,-185.76,3.36,0.00,0.00
