Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
305.92000,-99.51,0.90,0.00,0.00
305.94000,-99.54,0.90,0.00,0.00
305.96000,-99.57,0.90,0.00,0.00
305.98000,-99.60,0.90,0.00,0.00
306.00000,-99.63,0.90,0.00,0.00
306.02000,-99.66,0.90,0.00,0.00
306.04000,-99.70,0.90,0.00,0.00
306.06000,-99.73,0.90,0.00,0.00
306.08000,-99.76,0.90,0.00,0.00
306.10000,-99.79,0.90,0.00,0.00
306.12000,-99.82,0.90,0.00,0.00
306.14000,-99.85,0.90,0.00,0.00
306.16000,-99.88,0.90,0.00,0.00
306.18000,-99.91,0.90,0.00,0.00
306.20000,-99.94,0.90,0.00,0.00
306.22000,-99.97,0.90,0.00,0.00
306.24000,-100.00,0.90,0.00,0.00
306.26000,-100.03,0.90,0.00,0.00
306.28000,-100.07,0.90,0.00,0.00
306.30000,-100.10,0.90,0.00,0.00
306.32000,-100.13,0.90,0.00,0.00
306.34000,-100.16,0.90,0.00,0.00
306.36000,-100.19,0.90,0.00,0.00
306.38000,-100.22,0.90,0.00,0.00
306.40000,-100.25,0.90,0.00,0.00
306.42000,-100.28,0.90,0.00,0.00
306.44000,-100.31,0.90,0.00,0.00
306.46000,-100.34,0.90,0.00,0.00
306.48000,-100.37,0.90,0.00,0.00
306.50000,-100.41,0.90,0.00,0.00
306.52000,-100.44,0.90,0.00,0.00
306.54000,-100.47,0.90,0.00,0.00
306.56000,-100.50,0.90,0.00,0.00
306.58000,-100.53,0.90,0.00,0.00
306.60000,-100.56,0.90,0.00,0.00
306.62000,-100.59,0.90,0.00,0.00
306.64000,-100.62,0.90,0.00,0.00
306.66000,-100.65,0.91,0.00,0.00
306.68000,-100.69,0.91,0.00,0.00
306.70000,-100.72,0.91,0.00,0.00
306.72000,-100.75,0.91,0.00,0.00
306.74000,-100.78,0.91,0.00,0.00
306.76000,-100.81,0.91,0.00,0.00
306.78000,-100.84,0.91,0.00,0.00
306.80000,-100.87,0.91,0.00,0.00
306.82000,-100.90,0.91,0.00,0.00
306.84000,-100.94,0.91,0.00,0.00
306.86000,-100.97,0.91,0.00,0.00
306.88000,-101.00,0.91,0.00,0.00
306.90000,-101.03,0.91,0.00,0.00
306.92000,-101.06,0.91,0.00,0.00
306.94000,-101.09,0.91,0.00,0.00
306.96000,-101.12,0.91,0.00,0.00
306.98000,-101.15,0.91,0.00,0.00
307.00000,-101.19,0.91,0.00,0.00
307.02000,-101.22,0.91,0.00,0.00
307.04000,-101.25,0.91,0.00,0.00
307.06000,-101.28,0.91,0.00,0.00
307.08000,-101.31,0.91,0.00,0.00
307.10000,-101.34,0.91,0.00,0.00
307.12000,-101.37,0.91,0.00,0.00
307.14000,-101.40,0.91,0.00,0.00
307.16000,-101.44,0.91,0.00,0.00
307.18000,-101.47,0.91,0.00,0.00
307.20000,-101.50,0.91,0.00,0.00
307.22000,-101.53,0.91,0.00,0.00
307.24000,-101.56,0.91,0.00,0.00
307.26000,-101.59,0.91,0.00,0.00
307.28000,-101.63,0.91,0.00,0.00
307.30000,-101.66,0.91,0.00,0.00
307.32000,-101.69,0.91,0.00,0.00
307.34000,-101.72,0.91,0.00,0.00
307.36000,-101.75,0.91,0.00,0.00
307.38000,-101.78,0.91,0.00,0.00
307.40000,-101.81,0.92,0.00,0.00
307.42000,-101.85,0.92,0.00,0.00
307.44000,-101.88,0.92,0.00,0.00
307.46000,-101.91,0.92,0.00,0.00
307.48000,-101.94,0.92,0.00,0.00
307.50000,-101.97,0.92,0.00,0.00
307.52000,-102.00,0.92,0.00,0.00
307.54000,-102.04,0.92,0.00,0.00
307.56000,-102.07,0.92,0.00,0.00
307.58000,-102.10,0.92,0.00,0.00
307.60000,-102.13,0.92,0.00,0.00
307.62000,-102.16,0.92,0.00,0.00
307.64000,-102.19,0.92,0.00,0.00
307.66000,-102.23,0.92,0.00,0.00
307.68000,-102.26,0.92,0.00,0.00
307.70000,-102.29,0.92,0.00,0.00
307.72000,-102.32,0.92,0.00,0.00
307.74000,-102.35,0.92,0.00,0.00
307.76000,-102.38,0.92,0.00,0.00
307.78000,-102.42,0.92,0.00,0.00
307.80000,-102.45,0.92,0.00,0.00
307.82000,-102.48,0.92,0.00,0.00
307.84000,-102.51,0.92,0.00,0.00
307.86000,-102.54,0.92,0.00,0.00
307.88000,-102.58,0.92,0.00,0.00
307.90000,-102.61,0.92,0.00,0.00
307.92000,-102.64,0.92,0.00,0.00
307.94000,-102.67,0.92,0.00,0.00
307.96000,-102.70,0.92,0.00,0.00
307.98000,-102.74,0.92,0.00,0.00
308.00000,-102.77,0.92,0.00,0.00
308.02000,-102.80,0.92,0.00,0.00
308.04000,-102.83,0.92,0.00,0.00
308.06000,-102.86,0.92,0.00,0.00
308.08000,-102.90,0.92,0.00,0.00
308.10000,-102.93,0.92,0.00,0.00
308.12000,-102.96,0.92,0.00,0.00
308.14000,-102.99,0.93,0.00,0.00
308.16000,-103.02,0.93,0.00,0.00
308.18000,-103.06,0.93,0.00,0.00
308.20000,-103.09,0.93,0.00,0.00
308.22000,-103.12,0.93,0.00,0.00
308.24000,-103.15,0.93,0.00,0.00
308.26000,-103.18,0.93,0.00,0.00
308.28000,-103.22,0.93,0.00,0.00
308.30000,-103.25,0.93,0.00,0.00
308.32000,-103.28,0.93,0.00,0.00
308.34000,-103.31,0.93,0.00,0.00
308.36000,-103.34,0.93,0.00,0.00
308.38000,-103.38,0.93,0.00,0.00
308.40000,-103.41,0.93,0.00,0.00
308.42000,-103.44,0.93,0.00,0.00
308.44000,-103.47,0.93,0.00,0.00
308.46000,-103.51,0.93,0.00,0.00
308.48000,-103.54,0.93,0.00,0.00
308.50000,-103.57,0.93,0.00,0.00
308.52000,-103.60,0.93,0.00,0.00
308.54000,-103.63,0.93,0.00,0.00
308.56000,-103.67,0.93,0.00,0.00
308.58000,-103.70,0.93,0.00,0.00
308.60000,-103.73,0.93,0.00,0.00
308.62000,-103.76,0.93,0.00,0.00
308.64000,-103.80,0.93,0.00,0.00
308.66000,-103.83,0.93,0.00,0.00
308.68000,-103.86,0.93,0.00,0.00
308.70000,-103.89,0.93,0.00,0.00
308.72000,-103.93,0.93,0.00,0.00
308.74000,-103.96,0.93,0.00,0.00
308.76000,-103.99,0.93,0.00,0.00
308.78000,-104.02,0.93,0.00,0.00
308.80000,-104.06,0.93,0.00,0.00
308.82000,-104.09,0.93,0.00,0.00
308.84000,-104.12,0.93,0.00,0.00
308.86000,-104.15,0.94,0.00,0.00
308.88000,-104.19,0.94,0.00,0.00
308.90000,-104.22,0.94,0.00,0.00
308.92000,-104.25,0.94,0.00,0.00
308.94000,-104.28,0.94,0.00,0.00
308.96000,-104.32,0.94,0.00,0.00
308.98000,-104.35,0.94,0.00,0.00
309.00000,-104.38,0.94,0.00,0.00
309.02000,-104.41,0.94,0.00,0.00
309.04000,-104.45,0.94,0.00,0.00
309.06000,-104.48,0.94,0.00,0.00
309.08000,-104.51,0.94,0.00,0.00
309.10000,-104.54,0.94,0.00,0.00
309.12000,-104.58,0.94,0.00,0.00
309.14000,-104.61,0.94,0.00,0.00
309.16000,-104.64,0.94,0.00,0.00
309.18000,-104.67,0.94,0.00,0.00
309.20000,-104.71,0.94,0.00,0.00
309.22000,-104.74,0.94,0.00,0.00
309.24000,-104.77,0.94,0.00,0.00
309.26000,-104.81,0.94,0.00,0.00
309.28000,-104.84,0.94,0.00,0.00
309.30000,-104.87,0.94,0.00,0.00
309.32000,-104.90,0.94,0.00,0.00
309.34000,-104.94,0.94,0.00,0.00
309.36000,-104.97,0.94,0.00,0.00
309.38000,-105.00,0.94,0.00,0.00
309.40000,-105.04,0.94,0.00,0.00
309.42000,-105.07,0.94,0.00,0.00
309.44000,-105.10,0.94,0.00,0.00
309.46000,-105.13,0.94,0.00,0.00
