wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
467.9,-37741.69,2553.58,-64011.06,4423.96,10777.21,729.65,-48518.91,3283.16,-43130.3,2918.38,-26964.48,1824.04
467.92,-56616.7,3835.59,-96711.7,6644.31,16170.35,1095.92,-72787.05,4931.47,-64701.87,4383.54,-40446.35,2739.74
468,55888.1,3806.48,98123.21,6592.72,-15972.76,1087.6,71860.86,4894.04,63874.48,4350.27,39915.33,2718.95
468.02,37259.2,2541.18,65850.53,4401.28,-10649.94,726.11,47909.14,3267.23,42584.17,2904.21,26609.26,1815.18
468.04,27926.19,1907.3,49679.1,3303.49,-7983.08,545.02,35909.27,2452.24,31917.73,2179.78,19943.11,1362.43
468.06,22320.31,1526.59,39963.52,2644.18,-6381.12,436.26,28701.43,1962.75,25510.87,1744.68,15939.2,1090.51
468.08,18580.44,1272.62,33480.22,2204.39,-5312.3,363.72,23892.74,1636.22,21236.59,1454.43,13268.15,909.12
468.1,15907.76,1091.14,28845.6,1890.16,-4548.38,311.89,20456.14,1402.88,18181.95,1247.02,11359.37,779.51
468.12,13902.46,954.99,25367.16,1654.43,-3975.15,273.01,17877.61,1227.83,15890.03,1091.42,9927.3,682.28
468.14,12342.27,849.08,22659.91,1471.07,-3529.09,242.77,15871.37,1091.66,14106.82,970.38,8813.18,606.64
468.16,11093.77,764.33,20492.74,1324.37,-3172.09,218.57,14265.86,982.7,12679.82,873.53,7921.68,546.13
468.18,10072.01,694.99,18718.51,1204.35,-2879.86,198.78,12951.88,893.55,11511.95,794.29,7192.15,496.62
468.2,9220.35,637.21,17239.1,1104.33,-2636.24,182.29,11856.59,819.25,10538.47,728.25,6584.11,455.36
468.22,8499.55,588.31,15986.54,1019.7,-2430,168.34,10929.54,756.38,9714.55,672.36,6069.55,420.45
468.32,6095.44,425.32,11804.7,737.69,-1741.61,121.87,7837.05,546.82,6966.25,486.1,4353.84,304.11
468.42,4735.03,333.23,9434.49,578.41,-1351.37,95.66,6086.4,428.42,5410.72,380.86,3383.66,238.42
468.52,3859.31,274.07,7907.06,476.12,-1099.59,78.86,4958.9,352.35,4409.11,313.25,2759.73,196.24
468.62,3248,232.87,6840.38,404.9,-923.3,67.19,4171.3,299.38,3709.65,266.17,2324.7,166.89
468.72,2796.71,202.54,6053.29,352.48,-792.69,58.64,3589.4,260.4,3193.06,231.53,2004.02,145.31
468.82,2449.61,179.3,5448.78,312.32,-691.81,52.1,3141.42,230.52,2795.51,204.97,1757.8,128.79
468.92,2174.12,160.92,4970.17,280.58,-611.34,46.96,2785.45,206.9,2479.78,183.98,1562.78,115.74
469.42,1355.2,107.08,3567.26,187.64,-367.77,32.16,1722.97,137.76,1539.08,122.52,987.43,77.62
469.92,943.17,81.07,2898.92,142.96,-238.9,25.36,1182.07,104.46,1062.62,92.88,704.27,59.31
470.42,687.36,65.94,2508.36,116.81,-152.74,21.76,840.1,85.26,763.73,75.73,534.62,48.71
470.45,674.69,65.23,2165.38,110.68,-148.28,21.6,822.97,84.37,748.83,74.94,526.4,48.21
470.48,662.55,64.55,2517.02,115.76,-143.95,21.46,806.5,83.51,734.53,74.17,518.59,47.74
470.51,650.51,63.88,2492.67,114.37,-139.62,21.31,790.13,82.67,720.32,73.41,510.89,47.27
470.54,638.68,63.23,2474.16,113.18,-135.36,21.17,774.04,81.86,706.36,72.68,503.31,46.81
470.57,627.05,62.59,2457.87,112.08,-131.15,21.04,758.21,81.06,692.63,71.96,495.9,46.36
470.6,615.63,61.97,2442.76,111.03,-127,20.91,742.62,80.29,679.12,71.27,488.63,45.93
