wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
483.17,-24011.39,465.87,66195.96,1394.03,23058.37,464.15,-70128.12,1392.88,-953.03,42.37
483.2,-28725.96,560.9,80263.07,1679.8,27748.29,559.46,-84222.53,1678.76,-977.67,42.51
483.23,-35865.35,705.2,101603.84,2113.34,34862.89,704.04,-105591.13,2112.41,-1002.46,42.66
483.26,-47963.58,950.22,137820.29,2849.11,46936.18,949.35,-141835.94,2848.28,-1027.4,42.82
483.29,-72973.43,1457.55,212770.74,4371.79,71920.92,1456.97,-216815.27,4371.07,-1052.51,42.98
483.32,-155389.42,3131.13,459938.71,9393.25,154311.63,3130.86,-464012.67,9392.64,-1077.79,43.15
483.37,167216.86,3424.28,-508015.49,10271.75,-168337.19,3424.03,503891.24,10272.17,-1120.33,43.44
483.4,73366.23,1518.43,-226546.05,4553.42,-74512.32,1517.85,222390.86,4553.72,-1146.09,43.62
483.43,46627.63,976.03,-146413.7,2925.45,-47799.69,975.13,142227,2925.63,-1172.06,43.81
483.46,33963.63,719.59,-108506.15,2155.33,-35161.86,718.35,104287.35,2155.39,-1198.23,44
483.49,26570.35,570.24,-86411.79,1706.47,-27794.96,568.65,82160.28,1706.4,-1224.61,44.2
483.52,21719.61,472.56,-71946.09,1412.59,-22970.82,470.62,67661.26,1412.4,-1251.21,44.41
483.55,18288.95,403.74,-61741.7,1205.28,-19566.99,401.44,57422.92,1204.97,-1278.04,44.62
483.58,15731.8,352.68,-54158.98,1051.24,-17036.91,350.01,49805.62,1050.79,-1305.11,44.83
483.61,13750.16,313.33,-48303.91,932.29,-15082.58,310.28,43915.31,931.71,-1332.42,45.06
483.64,12167.68,282.1,-43647.52,837.7,-13527.66,278.66,39223.01,836.99,-1359.98,45.29
483.67,10873.37,256.74,-39856.84,760.7,-12261.18,252.9,35395.74,759.84,-1387.81,45.52
483.73,8878.71,218.13,-34061.1,642.97,-10323,213.48,29524.72,641.83,-1444.29,46.02
483.79,7407.93,190.23,-29842.21,557.27,-8909.86,184.72,25227.65,555.84,-1501.93,46.53
483.85,6273.37,169.22,-26637.5,492.19,-7834.18,162.82,21941.72,490.44,-1560.81,47.08
483.91,5367.2,152.93,-24123.81,441.15,-6988.21,145.59,19343.63,439.08,-1621.02,47.66
484.41,1477.26,94.6,-14438.08,245.04,-3664.85,77.79,8806.96,239.54,-2187.59,53.73
484.91,-443.15,83.56,-11378.06,184.94,-2483.64,53.77,4524.13,174.3,-2926.78,62.89
485.41,-2091.46,89.93,-10406.99,169.86,-1885.15,42.08,1678.85,151.53,-3976.61,77.21
485.91,-4128.11,111.8,-10838.96,187.32,-1521.47,36.32,-1085.16,157.39,-5649.58,101.6
486.41,-7613.95,163.03,-13402.17,254.54,-1244.82,35.92,-5124.3,204.73,-8858.77,150.94
486.91,-17306.93,327.58,-23893.32,495.39,-753.4,48.62,-15800.12,392.46,-18060.34,301.73
486.96,-19436.74,365.41,-26475.46,551.69,-634.81,52.06,-18167.12,437.13,-20071.55,335.97
487.01,-22105.54,413.33,-29795.07,623.14,-477.28,56.46,-21150.97,493.97,-22582.82,379.24
487.06,-25556.32,475.98,-34200.58,716.69,-259.71,62.27,-25036.89,568.55,-25816.03,435.7
487.11,-30206.53,561.38,-40297,844.4,55.45,70.23,-30317.42,670.54,-30151.08,512.54
487.15,-35295.16,655.84,-47130.17,985.79,424.6,79.07,-36144.35,783.61,-34870.56,597.42
487.18,-40369.91,750.86,-54073.88,1128.1,813.29,87.99,-41996.49,897.5,-39556.61,682.75
487.21,-47131.49,878.44,-63477.91,1319.26,1356.46,100.01,-49844.41,1050.54,-45775.03,797.29
487.24,-56615.67,1058.79,-76883.3,1589.59,2155.15,117.1,-60925.97,1267.03,-54460.52,959.18
487.27,-70934.44,1333.21,-97442.22,2001.02,3417.4,143.31,-77769.25,1596.55,-67517.04,1205.54
487.3,-95170.77,1801.22,-132759.04,2702.83,5647.51,188.48,-106465.8,2158.56,-89523.26,1625.88
487.33,-145458.5,2779.03,-207008.61,4169.35,10453.68,284.08,-166365.87,3332.58,-135004.82,2504.7
487.36,-314927.2,6092.89,-459851.3,9139.97,27142.07,612.53,-369211.35,7310.24,-287785.13,5485.51
487.4,520034.83,10299.65,794763.99,15449.1,-56770.77,1032.3,633576.36,12358.64,463264.06,9271.1
487.41,308682.12,6159.11,478357.39,9238.34,-35755.59,620.02,380193.3,7389.25,272926.54,5545.7
487.42,218430.22,4394.07,343639.65,6590.84,-26858.04,445.48,272146.31,5270.35,191572.18,3958.38
487.43,168297.31,3416.25,269141.64,5124.17,-21980.67,349.86,212258.65,4096.01,146316.64,3079.73
487.44,136338.58,2795.3,221950.26,4192.8,-18929.81,290.14,174198.19,3349.77,117408.77,2522.42
487.45,114140.28,2366.23,189449.51,3549.26,-16865,249.84,147870.28,2833.64,97275.27,2138.01
487.46,97782.89,2052.23,165765.4,3078.31,-15395.37,221.31,128573.62,2455.42,82387.52,1857.38
487.47,85193.15,1812.7,147794.12,2719.07,-14314.79,200.49,113822.72,2166.35,70878.36,1644.04
487.48,75170.83,1624.17,133742.29,2436.33,-13504.63,185.07,102180.1,1938.24,61666.19,1476.9
487.49,66972.23,1472.14,122502.46,2208.34,-12892.16,173.62,92756.55,1753.65,54080.07,1342.97
487.5,60111.26,1347.17,113354.91,2020.95,-12430.63,165.21,84972.52,1601.22,47680.62,1233.79
487.51,54255.99,1242.89,105812.79,1864.58,-12089.07,159.24,78434.14,1473.22,42166.92,1143.7
487.52,49171.2,1154.83,99536.25,1732.53,-11846.55,155.28,72864.31,1364.21,37324.65,1068.76
487.53,44684.61,1079.77,94282.3,1620,-11688.93,153.06,68062.47,1270.26,32995.67,1006.16
