wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
1603.87,39.38,3.29,-232.17,1.52,6.71,0.48,25.95,3.47,46.09,3.3
1604.37,39.21,3.29,-232.29,1.52,6.7,0.48,25.8,3.47,45.91,3.3
1604.87,39.04,3.29,-232.42,1.52,6.7,0.48,25.65,3.47,45.74,3.3
1605.37,38.88,3.29,-232.54,1.52,6.69,0.48,25.5,3.47,45.56,3.3
1605.87,38.71,3.29,-232.66,1.52,6.68,0.48,25.35,3.47,45.39,3.3
1606.37,38.54,3.29,-232.79,1.52,6.67,0.48,25.2,3.47,45.21,3.3
1606.87,38.37,3.29,-232.91,1.52,6.66,0.48,25.05,3.47,45.03,3.3
1607.37,38.2,3.29,-233.03,1.52,6.65,0.48,24.9,3.47,44.86,3.3
1607.87,38.04,3.29,-233.16,1.53,6.64,0.48,24.75,3.47,44.68,3.3
1608.37,37.87,3.29,-233.28,1.53,6.63,0.48,24.6,3.47,44.5,3.3
1608.87,37.7,3.29,-233.41,1.53,6.63,0.48,24.45,3.47,44.32,3.3
1609.37,37.53,3.29,-233.53,1.53,6.62,0.48,24.3,3.47,44.15,3.3
1609.87,37.36,3.29,-233.66,1.53,6.61,0.48,24.15,3.47,43.97,3.3
1610.37,37.19,3.29,-233.78,1.53,6.6,0.48,23.99,3.47,43.79,3.3
1610.87,37.02,3.29,-233.91,1.53,6.59,0.48,23.84,3.47,43.61,3.3
1611.37,36.85,3.29,-234.03,1.53,6.58,0.48,23.69,3.47,43.43,3.3
1611.87,36.68,3.29,-234.16,1.53,6.57,0.48,23.54,3.47,43.25,3.3
1612.37,36.51,3.29,-234.29,1.53,6.56,0.48,23.39,3.47,43.08,3.3
1612.87,36.34,3.29,-234.41,1.53,6.55,0.48,23.23,3.47,42.9,3.3
1613.37,36.17,3.29,-234.54,1.54,6.55,0.48,23.08,3.47,42.72,3.3
1613.87,36,3.29,-234.67,1.54,6.54,0.48,22.93,3.47,42.54,3.3
1614.37,35.83,3.29,-234.79,1.54,6.53,0.48,22.78,3.47,42.36,3.3
1614.87,35.66,3.29,-234.92,1.54,6.52,0.48,22.62,3.47,42.18,3.3
1615.37,35.49,3.29,-235.05,1.54,6.51,0.48,22.47,3.47,42,3.3
1615.87,35.32,3.29,-235.17,1.54,6.5,0.48,22.32,3.47,41.82,3.3
1616.37,35.15,3.29,-235.3,1.54,6.49,0.48,22.16,3.47,41.64,3.3
1616.87,34.98,3.29,-235.43,1.54,6.48,0.48,22.01,3.47,41.46,3.3
1617.37,34.8,3.29,-235.56,1.54,6.48,0.48,21.85,3.47,41.28,3.3
1617.87,34.63,3.29,-235.68,1.54,6.47,0.48,21.7,3.47,41.1,3.3
1618.37,34.46,3.29,-235.81,1.54,6.46,0.48,21.55,3.47,40.92,3.3
1618.87,34.29,3.29,-235.94,1.55,6.45,0.48,21.39,3.47,40.74,3.3
1619.37,34.12,3.29,-236.07,1.55,6.44,0.48,21.24,3.47,40.56,3.3
1619.87,33.94,3.29,-236.2,1.55,6.43,0.48,21.08,3.47,40.37,3.3
1620.37,33.77,3.29,-236.33,1.55,6.42,0.48,20.93,3.47,40.19,3.3
1620.87,33.6,3.29,-236.46,1.55,6.41,0.48,20.77,3.47,40.01,3.3
1621.37,33.43,3.29,-236.59,1.55,6.4,0.48,20.62,3.47,39.83,3.3
1621.87,33.25,3.29,-236.72,1.55,6.4,0.48,20.46,3.47,39.65,3.3
1622.37,33.08,3.29,-236.85,1.55,6.39,0.48,20.3,3.47,39.47,3.3
1622.87,32.9,3.29,-236.98,1.55,6.38,0.48,20.15,3.47,39.28,3.3
1623.37,32.73,3.29,-237.11,1.55,6.37,0.48,19.99,3.47,39.1,3.3
1623.87,32.56,3.29,-237.24,1.55,6.36,0.48,19.84,3.47,38.92,3.3
1624.37,32.38,3.29,-237.37,1.56,6.35,0.48,19.68,3.47,38.73,3.3
1624.87,32.21,3.29,-237.5,1.56,6.34,0.48,19.52,3.47,38.55,3.3
1625.37,32.03,3.29,-237.63,1.56,6.33,0.48,19.37,3.47,38.37,3.3
1625.87,31.86,3.29,-237.76,1.56,6.33,0.48,19.21,3.47,38.19,3.3
1626.37,31.69,3.29,-237.89,1.56,6.32,0.48,19.05,3.47,38,3.3
1626.87,31.51,3.29,-238.02,1.56,6.31,0.48,18.89,3.47,37.82,3.3
1627.37,31.33,3.29,-238.15,1.56,6.3,0.48,18.74,3.47,37.63,3.3
1627.87,31.16,3.29,-238.29,1.56,6.29,0.48,18.58,3.47,37.45,3.3
1628.37,30.98,3.29,-238.42,1.56,6.28,0.48,18.42,3.47,37.27,3.3
1628.87,30.81,3.29,-238.55,1.56,6.27,0.48,18.26,3.47,37.08,3.3
1629.37,30.63,3.29,-238.68,1.57,6.26,0.48,18.1,3.47,36.9,3.3
1629.87,30.46,3.29,-238.82,1.57,6.26,0.48,17.95,3.47,36.71,3.3
1630.37,30.28,3.29,-238.95,1.57,6.25,0.48,17.79,3.47,36.53,3.3
1630.87,30.1,3.29,-239.08,1.57,6.24,0.48,17.63,3.47,36.34,3.3
1631.37,29.93,3.29,-239.22,1.57,6.23,0.48,17.47,3.47,36.15,3.3
1631.87,29.75,3.29,-239.35,1.57,6.22,0.48,17.31,3.48,35.97,3.3
1632.37,29.57,3.29,-239.48,1.57,6.21,0.48,17.15,3.48,35.78,3.3
1632.87,29.39,3.29,-239.62,1.57,6.2,0.48,16.99,3.48,35.6,3.3
1633.37,29.22,3.29,-239.75,1.57,6.19,0.48,16.83,3.48,35.41,3.3
1633.87,29.04,3.29,-239.89,1.57,6.18,0.48,16.67,3.48,35.22,3.3
1634.37,28.86,3.29,-240.02,1.58,6.18,0.48,16.51,3.48,35.04,3.3
1634.87,28.68,3.29,-240.16,1.58,6.17,0.48,16.35,3.48,34.85,3.3
1635.37,28.51,3.29,-240.29,1.58,6.16,0.48,16.19,3.48,34.66,3.3
1635.87,28.33,3.29,-240.43,1.58,6.15,0.48,16.03,3.48,34.48,3.3
1636.37,28.15,3.29,-240.56,1.58,6.14,0.48,15.87,3.48,34.29,3.3
1636.87,27.97,3.29,-240.7,1.58,6.13,0.48,15.71,3.48,34.1,3.3
1637.37,27.79,3.29,-240.83,1.58,6.12,0.48,15.54,3.48,33.91,3.3
1637.87,27.61,3.29,-240.97,1.58,6.11,0.48,15.38,3.48,33.73,3.31
1638.37,27.43,3.29,-241.11,1.58,6.11,0.48,15.22,3.48,33.54,3.31
1638.87,27.25,3.29,-241.24,1.58,6.1,0.48,15.06,3.48,33.35,3.31
1639.37,27.07,3.29,-241.38,1.59,6.09,0.48,14.89,3.48,33.16,3.31
1639.87,26.89,3.29,-241.52,1.59,6.08,0.48,14.73,3.48,32.97,3.31
1640.37,26.71,3.29,-241.65,1.59,6.07,0.48,14.57,3.48,32.78,3.31
1640.87,26.53,3.29,-241.79,1.59,6.06,0.48,14.41,3.48,32.59,3.31
1641.37,26.35,3.29,-241.93,1.59,6.05,0.48,14.24,3.48,32.4,3.31
1641.87,26.17,3.29,-242.07,1.59,6.04,0.48,14.08,3.48,32.21,3.31
1642.37,25.99,3.29,-242.21,1.59,6.04,0.48,13.92,3.48,32.02,3.31
1642.87,25.81,3.29,-242.35,1.59,6.03,0.48,13.75,3.48,31.83,3.31
1643.37,25.63,3.29,-242.48,1.59,6.02,0.48,13.59,3.48,31.64,3.31
1643.87,25.44,3.29,-242.62,1.59,6.01,0.48,13.42,3.48,31.45,3.31
1644.37,25.26,3.29,-242.76,1.6,6,0.48,13.26,3.48,31.26,3.31
1644.87,25.08,3.29,-242.9,1.6,5.99,0.48,13.09,3.48,31.07,3.31
1645.37,24.9,3.29,-243.04,1.6,5.98,0.48,12.93,3.48,30.88,3.31
1645.87,24.71,3.29,-243.18,1.6,5.98,0.48,12.76,3.48,30.69,3.31
1646.37,24.53,3.29,-243.32,1.6,5.97,0.48,12.6,3.48,30.5,3.31
1646.87,24.35,3.29,-243.46,1.6,5.96,0.48,12.43,3.48,30.31,3.31
1647.37,24.16,3.3,-243.6,1.6,5.95,0.48,12.27,3.48,30.11,3.31
1647.87,23.98,3.3,-243.74,1.6,5.94,0.48,12.1,3.48,29.92,3.31
1648.37,23.8,3.3,-243.89,1.6,5.93,0.48,11.93,3.48,29.73,3.31
1648.87,23.61,3.3,-244.03,1.61,5.92,0.48,11.77,3.48,29.54,3.31
1649.37,23.43,3.3,-244.17,1.61,5.91,0.48,11.6,3.48,29.34,3.31
1649.87,23.24,3.3,-244.31,1.61,5.91,0.48,11.43,3.48,29.15,3.31
1650.37,23.06,3.3,-244.45,1.61,5.9,0.48,11.27,3.48,28.96,3.31
1650.87,22.87,3.3,-244.6,1.61,5.89,0.48,11.1,3.48,28.76,3.31
1651.37,22.69,3.3,-244.74,1.61,5.88,0.48,10.93,3.48,28.57,3.31
1651.87,22.5,3.3,-244.88,1.61,5.87,0.48,10.76,3.48,28.37,3.31
1652.37,22.32,3.3,-245.02,1.61,5.86,0.48,10.59,3.48,28.18,3.31
1652.87,22.13,3.3,-245.17,1.62,5.85,0.48,10.43,3.48,27.99,3.31
1653.37,21.95,3.3,-245.31,1.62,5.84,0.48,10.26,3.48,27.79,3.31
1653.87,21.76,3.3,-245.46,1.62,5.84,0.48,10.09,3.48,27.6,3.31
1654.37,21.57,3.3,-245.6,1.62,5.83,0.48,9.92,3.48,27.4,3.31
1654.87,21.39,3.3,-245.75,1.62,5.82,0.48,9.75,3.48,27.21,3.31
1655.37,21.2,3.3,-245.89,1.62,5.81,0.48,9.58,3.48,27.01,3.31
1655.87,21.01,3.3,-246.04,1.62,5.8,0.48,9.41,3.48,26.81,3.31
1656.37,20.82,3.3,-246.18,1.62,5.79,0.48,9.24,3.48,26.62,3.31
1656.87,20.64,3.3,-246.33,1.62,5.78,0.48,9.07,3.48,26.42,3.31
1657.37,20.45,3.3,-246.47,1.63,5.78,0.48,8.9,3.48,26.22,3.31
1657.87,20.26,3.3,-246.62,1.63,5.77,0.48,8.73,3.48,26.03,3.31
1658.37,20.07,3.3,-246.77,1.63,5.76,0.48,8.55,3.48,25.83,3.31
1658.87,19.88,3.3,-246.91,1.63,5.75,0.48,8.38,3.48,25.63,3.31
1659.37,19.69,3.3,-247.06,1.63,5.74,0.48,8.21,3.48,25.44,3.31
1659.87,19.5,3.3,-247.21,1.63,5.73,0.48,8.04,3.48,25.24,3.31
1660.37,19.32,3.3,-247.36,1.63,5.72,0.48,7.87,3.48,25.04,3.31
1660.87,19.13,3.3,-247.5,1.63,5.72,0.48,7.69,3.48,24.84,3.31
1661.37,18.94,3.3,-247.65,1.64,5.71,0.48,7.52,3.48,24.64,3.31
1661.87,18.74,3.3,-247.8,1.64,5.7,0.48,7.35,3.48,24.44,3.31
1662.37,18.55,3.3,-247.95,1.64,5.69,0.48,7.17,3.48,24.24,3.31
1662.87,18.36,3.3,-248.1,1.64,5.68,0.48,7,3.48,24.04,3.31
1663.37,18.17,3.3,-248.25,1.64,5.67,0.48,6.83,3.48,23.85,3.31
1663.87,17.98,3.3,-248.4,1.64,5.66,0.48,6.65,3.48,23.65,3.31
1664.37,17.79,3.3,-248.55,1.64,5.66,0.48,6.48,3.48,23.44,3.31
1664.87,17.6,3.3,-248.7,1.64,5.65,0.48,6.3,3.48,23.24,3.31
1665.37,17.4,3.3,-248.85,1.65,5.64,0.48,6.13,3.48,23.04,3.31
1665.87,17.21,3.3,-249,1.65,5.63,0.48,5.95,3.48,22.84,3.31
1666.37,17.02,3.3,-249.15,1.65,5.62,0.48,5.78,3.48,22.64,3.31
1666.87,16.83,3.3,-249.3,1.65,5.61,0.48,5.6,3.48,22.44,3.31
1667.37,16.63,3.3,-249.46,1.65,5.6,0.48,5.42,3.48,22.24,3.31
1667.87,16.44,3.3,-249.61,1.65,5.6,0.48,5.25,3.48,22.04,3.31
1668.37,16.25,3.3,-249.76,1.65,5.59,0.48,5.07,3.48,21.83,3.31
1668.87,16.05,3.3,-249.92,1.66,5.58,0.48,4.89,3.48,21.63,3.31
1669.37,15.86,3.3,-250.07,1.66,5.57,0.48,4.71,3.48,21.43,3.31
1669.87,15.66,3.3,-250.22,1.66,5.56,0.48,4.54,3.49,21.22,3.31
1670.37,15.47,3.3,-250.38,1.66,5.55,0.48,4.36,3.49,21.02,3.31
1670.87,15.27,3.3,-250.53,1.66,5.55,0.48,4.18,3.49,20.82,3.31
1671.37,15.08,3.3,-250.69,1.66,5.54,0.48,4,3.49,20.61,3.31
1671.87,14.88,3.3,-250.84,1.66,5.53,0.48,3.82,3.49,20.41,3.31
1672.37,14.68,3.3,-251,1.66,5.52,0.48,3.64,3.49,20.2,3.31
1672.87,14.49,3.3,-251.15,1.67,5.51,0.48,3.46,3.49,20,3.31
1673.37,14.29,3.3,-251.31,1.67,5.5,0.48,3.28,3.49,19.79,3.31
1673.87,14.09,3.3,-251.47,1.67,5.5,0.48,3.1,3.49,19.59,3.31
1674.37,13.9,3.3,-251.62,1.67,5.49,0.48,2.92,3.49,19.38,3.31
1674.87,13.7,3.3,-251.78,1.67,5.48,0.48,2.74,3.49,19.18,3.31
1675.37,13.5,3.3,-251.94,1.67,5.47,0.48,2.56,3.49,18.97,3.31
1675.87,13.3,3.3,-252.1,1.68,5.46,0.48,2.38,3.49,18.76,3.31
1676.37,13.1,3.3,-252.26,1.68,5.45,0.48,2.19,3.49,18.56,3.31
1676.87,12.9,3.3,-252.41,1.68,5.45,0.48,2.01,3.49,18.35,3.31
1677.37,12.7,3.3,-252.57,1.68,5.44,0.48,1.83,3.49,18.14,3.31
1677.87,12.5,3.3,-252.73,1.68,5.43,0.48,1.65,3.49,17.93,3.31
1678.37,12.3,3.3,-252.89,1.68,5.42,0.48,1.46,3.49,17.72,3.31
1678.87,12.1,3.3,-253.06,1.68,5.41,0.48,1.28,3.49,17.52,3.31
1679.37,11.9,3.3,-253.22,1.69,5.4,0.48,1.09,3.49,17.31,3.31
1679.87,11.7,3.3,-253.38,1.69,5.4,0.48,0.91,3.49,17.1,3.31
1680.37,11.5,3.3,-253.54,1.69,5.39,0.48,0.72,3.49,16.89,3.31
1680.87,11.3,3.3,-253.7,1.69,5.38,0.48,0.54,3.49,16.68,3.31
1681.37,11.1,3.3,-253.86,1.69,5.37,0.48,0.35,3.49,16.47,3.31
1681.87,10.89,3.3,-254.03,1.69,5.36,0.48,0.17,3.49,16.26,3.31
1682.37,10.69,3.3,-254.19,1.7,5.36,0.48,-0.02,3.49,16.04,3.31
1682.87,10.49,3.3,-254.36,1.7,5.35,0.48,-0.21,3.49,15.83,3.31
1683.37,10.28,3.3,-254.52,1.7,5.34,0.48,-0.4,3.49,15.62,3.31
1683.87,10.08,3.3,-254.69,1.7,5.33,0.48,-0.58,3.49,15.41,3.31
1684.37,9.87,3.31,-254.85,1.7,5.32,0.48,-0.77,3.49,15.2,3.31
1684.87,9.67,3.31,-255.02,1.7,5.31,0.48,-0.96,3.49,14.98,3.31
1685.37,9.46,3.31,-255.18,1.71,5.31,0.48,-1.15,3.49,14.77,3.31
1685.87,9.26,3.31,-255.35,1.71,5.3,0.48,-1.34,3.49,14.56,3.31
1686.37,9.05,3.31,-255.52,1.71,5.29,0.48,-1.53,3.49,14.34,3.31
1686.87,8.85,3.31,-255.69,1.71,5.28,0.48,-1.72,3.49,14.13,3.31
1687.37,8.64,3.31,-255.85,1.71,5.27,0.48,-1.91,3.49,13.91,3.31
1687.87,8.43,3.31,-256.02,1.71,5.27,0.48,-2.1,3.49,13.7,3.31
1688.37,8.22,3.31,-256.19,1.72,5.26,0.48,-2.29,3.49,13.48,3.31
1688.87,8.02,3.31,-256.36,1.72,5.25,0.48,-2.49,3.5,13.27,3.32
1689.37,7.81,3.31,-256.53,1.72,5.24,0.48,-2.68,3.5,13.05,3.32
1689.87,7.6,3.31,-256.7,1.72,5.23,0.48,-2.87,3.5,12.83,3.32
1690.37,7.39,3.31,-256.88,1.72,5.23,0.48,-3.06,3.5,12.62,3.32
1690.87,7.18,3.31,-257.05,1.73,5.22,0.48,-3.26,3.5,12.4,3.32
1691.37,6.97,3.31,-257.22,1.73,5.21,0.48,-3.45,3.5,12.18,3.32
1691.87,6.76,3.31,-257.39,1.73,5.2,0.48,-3.65,3.5,11.96,3.32
1692.37,6.55,3.31,-257.57,1.73,5.2,0.48,-3.84,3.5,11.74,3.32
1692.87,6.34,3.31,-257.74,1.73,5.19,0.48,-4.04,3.5,11.52,3.32
1693.37,6.12,3.31,-257.92,1.74,5.18,0.48,-4.24,3.5,11.31,3.32
1693.87,5.91,3.31,-258.09,1.74,5.17,0.48,-4.43,3.5,11.08,3.32
1694.37,5.7,3.31,-258.27,1.74,5.16,0.48,-4.63,3.5,10.86,3.32
1694.87,5.49,3.31,-258.44,1.74,5.16,0.48,-4.83,3.5,10.64,3.32
1695.37,5.27,3.31,-258.62,1.74,5.15,0.48,-5.03,3.5,10.42,3.32
1695.87,5.06,3.31,-258.8,1.75,5.14,0.48,-5.23,3.5,10.2,3.32
1696.37,4.84,3.31,-258.98,1.75,5.13,0.48,-5.43,3.5,9.98,3.32
1696.87,4.63,3.31,-259.16,1.75,5.13,0.48,-5.63,3.5,9.75,3.32
1697.37,4.41,3.31,-259.34,1.75,5.12,0.48,-5.83,3.5,9.53,3.32
1697.87,4.2,3.31,-259.52,1.75,5.11,0.48,-6.03,3.5,9.31,3.32
1698.37,3.98,3.31,-259.7,1.76,5.1,0.48,-6.23,3.5,9.08,3.32
1698.87,3.76,3.31,-259.88,1.76,5.1,0.48,-6.43,3.5,8.86,3.32
1699.37,3.54,3.31,-260.06,1.76,5.09,0.48,-6.64,3.5,8.63,3.32
1699.87,3.32,3.31,-260.25,1.76,5.08,0.48,-6.84,3.5,8.41,3.32
1700.37,3.11,3.31,-260.43,1.77,5.07,0.48,-7.04,3.51,8.18,3.32
1700.87,2.89,3.31,-260.62,1.77,5.07,0.48,-7.25,3.51,7.95,3.32
1701.37,2.67,3.32,-260.8,1.77,5.06,0.48,-7.46,3.51,7.73,3.32
1701.87,2.44,3.32,-260.99,1.77,5.05,0.48,-7.66,3.51,7.5,3.32
1702.37,2.22,3.32,-261.18,1.78,5.05,0.48,-7.87,3.51,7.27,3.32
1702.87,2,3.32,-261.36,1.78,5.04,0.48,-8.08,3.51,7.04,3.32
1703.37,1.78,3.32,-261.55,1.78,5.03,0.48,-8.28,3.51,6.81,3.32
1703.87,1.55,3.32,-261.74,1.78,5.02,0.48,-8.49,3.51,6.58,3.32
1704.37,1.33,3.32,-261.93,1.79,5.02,0.48,-8.7,3.51,6.35,3.32
1704.87,1.11,3.32,-262.12,1.79,5.01,0.48,-8.91,3.51,6.12,3.32
1705.37,0.88,3.32,-262.32,1.79,5,0.48,-9.13,3.51,5.88,3.32
1705.87,0.66,3.32,-262.51,1.79,5,0.48,-9.34,3.51,5.65,3.32
1706.37,0.43,3.32,-262.7,1.8,4.99,0.48,-9.55,3.51,5.42,3.33
1706.87,0.2,3.32,-262.9,1.8,4.98,0.48,-9.76,3.51,5.18,3.33
1707.37,-0.03,3.32,-263.09,1.8,4.98,0.48,-9.98,3.51,4.95,3.33
1707.87,-0.25,3.32,-263.29,1.81,4.97,0.48,-10.19,3.51,4.71,3.33
1708.37,-0.48,3.32,-263.49,1.81,4.96,0.48,-10.41,3.52,4.48,3.33
1708.87,-0.71,3.32,-263.69,1.81,4.96,0.48,-10.63,3.52,4.24,3.33
1709.37,-0.95,3.32,-263.89,1.81,4.95,0.48,-10.84,3.52,4,3.33
1709.87,-1.18,3.32,-264.09,1.82,4.94,0.48,-11.06,3.52,3.77,3.33
1710.37,-1.41,3.32,-264.29,1.82,4.94,0.48,-11.28,3.52,3.53,3.33
1710.87,-1.64,3.32,-264.49,1.82,4.93,0.48,-11.5,3.52,3.29,3.33
1711.37,-1.88,3.33,-264.7,1.83,4.92,0.48,-11.72,3.52,3.05,3.33
1711.87,-2.11,3.33,-264.9,1.83,4.92,0.48,-11.95,3.52,2.81,3.33
1712.37,-2.35,3.33,-265.11,1.83,4.91,0.48,-12.17,3.52,2.56,3.33
1712.87,-2.58,3.33,-265.32,1.84,4.9,0.48,-12.39,3.52,2.32,3.33
1713.37,-2.82,3.33,-265.53,1.84,4.9,0.48,-12.62,3.52,2.08,3.33
1713.87,-3.06,3.33,-265.74,1.84,4.89,0.48,-12.84,3.52,1.83,3.33
1714.37,-3.3,3.33,-265.95,1.85,4.89,0.48,-13.07,3.53,1.59,3.33
1714.87,-3.54,3.33,-266.16,1.85,4.88,0.48,-13.3,3.53,1.34,3.33
1715.37,-3.78,3.33,-266.37,1.85,4.88,0.48,-13.53,3.53,1.1,3.33
1715.87,-4.02,3.33,-266.59,1.86,4.87,0.48,-13.76,3.53,0.85,3.33
1716.37,-4.27,3.33,-266.81,1.86,4.86,0.48,-13.99,3.53,0.6,3.34
1716.87,-4.51,3.33,-267.02,1.87,4.86,0.48,-14.23,3.53,0.35,3.34
1717.37,-4.75,3.33,-267.24,1.87,4.85,0.48,-14.46,3.53,0.1,3.34
1717.87,-5,3.33,-267.46,1.87,4.85,0.48,-14.69,3.53,-0.15,3.34
1718.37,-5.25,3.34,-267.69,1.88,4.84,0.48,-14.93,3.53,-0.41,3.34
1718.87,-5.5,3.34,-267.91,1.88,4.84,0.48,-15.17,3.54,-0.66,3.34
1719.37,-5.75,3.34,-268.14,1.89,4.83,0.48,-15.41,3.54,-0.92,3.34
1719.87,-6,3.34,-268.36,1.89,4.83,0.48,-15.65,3.54,-1.17,3.34
1720.37,-6.25,3.34,-268.59,1.9,4.82,0.48,-15.89,3.54,-1.43,3.34
1720.87,-6.5,3.34,-268.82,1.9,4.82,0.48,-16.14,3.54,-1.69,3.34
1721.37,-6.76,3.34,-269.06,1.91,4.81,0.48,-16.38,3.54,-1.95,3.34
1721.87,-7.02,3.34,-269.29,1.91,4.81,0.48,-16.63,3.54,-2.21,3.34
1722.37,-7.27,3.34,-269.53,1.92,4.8,0.48,-16.88,3.54,-2.47,3.34
1722.87,-7.53,3.34,-269.77,1.92,4.8,0.48,-17.13,3.55,-2.74,3.34
1723.37,-7.8,3.34,-270.01,1.93,4.79,0.48,-17.38,3.55,-3,3.35
1723.87,-8.06,3.35,-270.26,1.93,4.79,0.48,-17.64,3.55,-3.27,3.35
1724.37,-8.33,3.35,-270.52,1.94,4.79,0.48,-17.9,3.55,-3.54,3.35
1724.87,-8.61,3.35,-270.78,1.94,4.78,0.48,-18.17,3.55,-3.82,3.35
1725.37,-8.9,3.35,-271.07,1.95,4.78,0.48,-18.46,3.55,-4.12,3.34
1725.87,-9.26,3.34,-271.46,1.95,4.79,0.48,-18.84,3.54,-4.47,3.34
1726.37,-10.42,3.26,-273.05,1.96,4.87,0.48,-20.17,3.47,-5.55,3.26
1726.87,-12.67,3.08,-276.27,2.01,5.07,0.48,-22.8,3.31,-7.6,3.08
1727.37,-10.15,3.34,-272.34,1.97,4.79,0.48,-19.72,3.54,-5.36,3.33
1727.87,-10.27,3.35,-272.38,1.98,4.77,0.48,-19.81,3.56,-5.5,3.35
1728.37,-10.51,3.36,-272.58,1.99,4.76,0.48,-20.03,3.56,-5.75,3.35
1728.87,-10.77,3.36,-272.83,1.99,4.76,0.48,-20.29,3.57,-6.02,3.36
1729.37,-11.05,3.36,-273.08,2,4.75,0.48,-20.55,3.57,-6.29,3.36
1729.87,-11.32,3.36,-273.35,2.01,4.75,0.48,-20.82,3.57,-6.57,3.36
1730.37,-11.61,3.37,-273.62,2.02,4.75,0.48,-21.1,3.57,-6.86,3.36
1730.87,-11.89,3.37,-273.9,2.02,4.74,0.48,-21.38,3.58,-7.15,3.36
1731.37,-12.18,3.37,-274.18,2.03,4.74,0.48,-21.66,3.58,-7.44,3.37
1731.87,-12.47,3.37,-274.46,2.04,4.74,0.48,-21.95,3.58,-7.73,3.37
1732.37,-12.76,3.37,-274.75,2.05,4.74,0.48,-22.24,3.59,-8.02,3.37
1732.87,-13.06,3.38,-275.04,2.06,4.74,0.49,-22.53,3.59,-8.32,3.37
1733.37,-13.36,3.38,-275.33,2.07,4.74,0.49,-22.83,3.59,-8.62,3.37
1733.87,-13.66,3.38,-275.63,2.07,4.74,0.49,-23.13,3.6,-8.92,3.37
1734.37,-13.96,3.38,-275.94,2.08,4.74,0.49,-23.43,3.6,-9.23,3.38
1734.87,-14.27,3.39,-276.25,2.09,4.74,0.49,-23.74,3.6,-9.53,3.38
1735.37,-14.58,3.39,-276.56,2.1,4.74,0.49,-24.05,3.61,-9.84,3.38
1735.87,-14.89,3.39,-276.88,2.11,4.74,0.49,-24.36,3.61,-10.16,3.38
1736.37,-15.21,3.39,-277.2,2.13,4.74,0.49,-24.68,3.61,-10.47,3.38
1736.87,-15.53,3.4,-277.53,2.14,4.74,0.49,-25,3.62,-10.79,3.39
1737.37,-15.85,3.4,-277.86,2.15,4.74,0.49,-25.33,3.62,-11.11,3.39
1737.87,-16.18,3.4,-278.2,2.16,4.74,0.49,-25.66,3.63,-11.44,3.39
1738.37,-16.51,3.41,-278.54,2.17,4.74,0.49,-26,3.63,-11.77,3.4
1738.87,-16.85,3.41,-278.89,2.19,4.75,0.49,-26.34,3.63,-12.1,3.4
1739.37,-17.19,3.41,-279.24,2.2,4.75,0.49,-26.68,3.64,-12.44,3.4
1739.87,-17.53,3.42,-279.61,2.21,4.75,0.49,-27.03,3.64,-12.78,3.4
1740.37,-17.88,3.42,-279.98,2.23,4.75,0.49,-27.39,3.65,-13.12,3.41
1740.87,-18.23,3.43,-280.35,2.24,4.76,0.49,-27.75,3.66,-13.47,3.41
1741.37,-18.59,3.43,-280.74,2.26,4.76,0.49,-28.12,3.66,-13.83,3.41
1741.87,-18.96,3.43,-281.13,2.28,4.77,0.49,-28.49,3.67,-14.19,3.42
1742.37,-19.33,3.44,-281.53,2.29,4.77,0.49,-28.87,3.67,-14.55,3.42
1742.87,-19.7,3.44,-281.94,2.31,4.78,0.49,-29.26,3.68,-14.92,3.43
1743.37,-20.08,3.45,-282.35,2.33,4.79,0.49,-29.66,3.69,-15.3,3.43
1743.87,-20.47,3.46,-282.78,2.35,4.79,0.49,-30.06,3.7,-15.68,3.44
1744.37,-20.87,3.46,-283.22,2.37,4.8,0.49,-30.47,3.7,-16.06,3.44
1744.87,-21.27,3.47,-283.67,2.39,4.81,0.49,-30.89,3.71,-16.46,3.45
1745.37,-21.68,3.47,-284.13,2.42,4.82,0.49,-31.32,3.72,-16.86,3.45
1745.87,-22.1,3.48,-284.6,2.44,4.83,0.49,-31.76,3.73,-17.26,3.46
1746.37,-22.52,3.49,-285.08,2.46,4.84,0.49,-32.21,3.74,-17.68,3.46
1746.87,-22.96,3.5,-285.58,2.49,4.85,0.49,-32.67,3.75,-18.1,3.47
1747.37,-23.4,3.51,-286.09,2.52,4.87,0.49,-33.14,3.76,-18.54,3.48
1747.87,-23.86,3.51,-286.62,2.55,4.88,0.49,-33.62,3.78,-18.98,3.48
1748.37,-24.32,3.52,-287.16,2.58,4.9,0.5,-34.12,3.79,-19.43,3.49
1748.87,-24.8,3.53,-287.72,2.61,4.91,0.5,-34.63,3.8,-19.89,3.5
1749.37,-25.29,3.54,-288.3,2.64,4.93,0.5,-35.15,3.82,-20.36,3.51
1749.87,-25.8,3.56,-288.9,2.68,4.95,0.5,-35.69,3.83,-20.85,3.52
1750.37,-26.31,3.57,-289.52,2.71,4.97,0.5,-36.25,3.85,-21.35,3.53
1750.87,-26.85,3.58,-290.16,2.75,4.99,0.5,-36.82,3.86,-21.86,3.54
1751.37,-27.39,3.6,-290.83,2.79,5.01,0.5,-37.42,3.88,-22.38,3.55
