Li1,2p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
410.26000,-323.15,3.20,0.00,0.00
410.28000,-324.86,3.20,0.00,0.00
410.30000,-326.60,3.20,0.00,0.00
410.32000,-328.36,3.20,0.00,0.00
410.34000,-330.14,3.20,0.00,0.00
410.36000,-331.95,3.20,0.00,0.00
410.38000,-333.78,3.19,0.00,0.00
410.40000,-335.63,3.19,0.00,0.00
410.42000,-337.51,3.19,0.00,0.00
410.44000,-339.41,3.19,0.00,0.00
410.46000,-341.33,3.19,0.00,0.00
410.48000,-343.28,3.19,0.00,0.00
410.50000,-345.26,3.19,0.00,0.00
410.52000,-347.27,3.19,0.00,0.00
410.54000,-349.30,3.18,0.00,0.00
410.56000,-351.36,3.18,0.00,0.00
410.58000,-353.44,3.18,0.00,0.00
410.60000,-355.56,3.18,0.00,0.00
410.62000,-357.71,3.18,0.00,0.00
410.64000,-359.88,3.18,0.00,0.00
410.66000,-362.09,3.18,0.00,0.00
410.68000,-364.33,3.18,0.00,0.00
410.70000,-366.60,3.17,0.00,0.00
410.72000,-368.91,3.17,0.00,0.00
410.74000,-371.25,3.17,0.00,0.00
410.76000,-373.62,3.17,0.00,0.00
410.78000,-376.03,3.17,0.00,0.00
410.80000,-378.47,3.17,0.00,0.00
410.82000,-380.96,3.17,0.00,0.00
410.84000,-383.48,3.17,0.00,0.00
410.86000,-386.04,3.16,0.00,0.00
410.88000,-388.64,3.16,0.00,0.00
410.90000,-391.28,3.16,0.00,0.00
410.92000,-393.96,3.16,0.00,0.00
410.94000,-396.69,3.16,0.00,0.00
410.96000,-399.46,3.16,0.00,0.00
410.98000,-402.27,3.16,0.00,0.00
411.00000,-405.13,3.16,0.00,0.00
411.02000,-408.04,3.16,0.00,0.00
411.04000,-411.00,3.15,0.00,0.00
411.06000,-414.00,3.15,0.00,0.00
411.08000,-417.06,3.15,0.00,0.00
411.10000,-420.17,3.15,0.00,0.00
411.12000,-423.34,3.15,0.00,0.00
411.14000,-426.56,3.15,0.00,0.00
411.16000,-429.83,3.15,0.00,0.00
411.18000,-433.17,3.15,0.00,0.00
411.20000,-436.56,3.15,0.00,0.00
411.22000,-440.02,3.14,0.00,0.00
411.24000,-443.54,3.14,0.00,0.00
411.26000,-447.13,3.14,0.00,0.00
411.28000,-450.78,3.14,0.00,0.00
411.30000,-454.51,3.14,0.00,0.00
411.32000,-458.30,3.14,0.00,0.00
411.34000,-462.17,3.14,0.00,0.00
411.36000,-466.11,3.14,0.00,0.00
411.38000,-470.14,3.14,0.00,0.00
411.40000,-474.24,3.14,0.00,0.00
411.42000,-478.42,3.14,0.00,0.00
411.44000,-482.69,3.13,0.00,0.00
411.46000,-487.05,3.13,0.00,0.00
411.48000,-491.50,3.13,0.00,0.00
411.50000,-496.04,3.13,0.00,0.00
411.52000,-500.68,3.13,0.00,0.00
411.54000,-505.42,3.13,0.00,0.00
411.56000,-510.26,3.13,0.00,0.00
411.58000,-515.21,3.13,0.00,0.00
411.60000,-520.27,3.13,0.00,0.00
411.62000,-525.44,3.13,0.00,0.00
411.64000,-530.73,3.13,0.00,0.00
411.66000,-536.15,3.13,0.00,0.00
411.68000,-541.69,3.13,0.00,0.00
411.70000,-547.36,3.13,0.00,0.00
411.72000,-553.17,3.13,0.00,0.00
411.74000,-559.12,3.13,0.00,0.00
411.76000,-565.21,3.12,0.00,0.00
411.78000,-571.46,3.12,0.00,0.00
411.80000,-577.86,3.12,0.00,0.00
411.82000,-584.43,3.12,0.00,0.00
411.84000,-591.17,3.12,0.00,0.00
411.86000,-598.08,3.12,0.00,0.00
411.88000,-605.18,3.12,0.00,0.00
411.90000,-612.47,3.12,0.00,0.00
411.92000,-619.96,3.12,0.00,0.00
411.94000,-627.66,3.12,0.00,0.00
411.96000,-635.58,3.12,0.00,0.00
411.98000,-643.72,3.12,0.00,0.00
412.00000,-652.10,3.12,0.00,0.00
412.02000,-660.72,3.12,0.00,0.00
412.04000,-669.60,3.12,0.00,0.00
412.06000,-678.75,3.12,0.00,0.00
412.08000,-688.19,3.12,0.00,0.00
412.10000,-697.92,3.13,0.00,0.00
412.12000,-707.96,3.13,0.00,0.00
412.14000,-718.32,3.13,0.00,0.00
412.16000,-729.03,3.13,0.00,0.00
412.18000,-740.09,3.13,0.00,0.00
412.20000,-751.54,3.13,0.00,0.00
412.22000,-763.37,3.13,0.00,0.00
412.24000,-775.63,3.13,0.00,0.00
412.26000,-788.33,3.13,0.00,0.00
412.28000,-801.49,3.14,0.00,0.00
412.30000,-815.14,3.14,0.00,0.00
412.32000,-829.31,3.14,0.00,0.00
412.34000,-844.03,3.14,0.00,0.00
412.36000,-859.34,3.14,0.00,0.00
412.38000,-875.26,3.15,0.00,0.00
412.40000,-891.83,3.15,0.00,0.00
412.42000,-909.11,3.15,0.00,0.00
412.44000,-927.13,3.16,0.00,0.00
412.46000,-945.94,3.16,0.00,0.00
412.48000,-965.59,3.16,0.00,0.00
412.50000,-986.15,3.17,0.00,0.00
412.52000,-1007.68,3.17,0.00,0.00
