wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
412.72,-95.76,0.21,0,0,0,0
412.74,-95.78,0.21,0,0,0,0
412.76,-95.79,0.21,0,0,0,0
412.78,-95.81,0.21,0,0,0,0
412.8,-95.82,0.21,0,0,0,0
412.82,-95.84,0.21,0,0,0,0
412.84,-95.85,0.21,0,0,0,0
412.86,-95.87,0.21,0,0,0,0
412.88,-95.88,0.21,0,0,0,0
412.9,-95.9,0.21,0,0,0,0
412.92,-95.92,0.21,0,0,0,0
412.94,-95.93,0.21,0,0,0,0
412.96,-95.95,0.21,0,0,0,0
412.98,-95.96,0.21,0,0,0,0
413,-95.98,0.21,0,0,0,0
413.02,-95.99,0.21,0,0,0,0
413.04,-96.01,0.21,0,0,0,0
413.06,-96.02,0.21,0,0,0,0
413.08,-96.04,0.21,0,0,0,0
413.1,-96.06,0.21,0,0,0,0
413.12,-96.07,0.21,0,0,0,0
