wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
409.92,-296.86,3.23,0,0,0,0
409.94,-298.27,3.22,0,0,0,0
409.96,-299.69,3.22,0,0,0,0
409.98,-301.13,3.22,0,0,0,0
410,-302.59,3.22,0,0,0,0
410.02,-304.06,3.22,0,0,0,0
410.04,-305.55,3.22,0,0,0,0
410.06,-307.06,3.22,0,0,0,0
410.08,-308.59,3.21,0,0,0,0
410.1,-310.13,3.21,0,0,0,0
410.12,-311.69,3.21,0,0,0,0
410.14,-313.27,3.21,0,0,0,0
410.16,-314.87,3.21,0,0,0,0
410.18,-316.48,3.21,0,0,0,0
410.2,-318.12,3.21,0,0,0,0
410.22,-319.77,3.21,0,0,0,0
410.24,-321.45,3.2,0,0,0,0
410.26,-323.15,3.2,0,0,0,0
410.28,-324.86,3.2,0,0,0,0
410.3,-326.6,3.2,0,0,0,0
410.32,-328.36,3.2,0,0,0,0
410.34,-330.14,3.2,0,0,0,0
410.36,-331.95,3.2,0,0,0,0
410.38,-333.78,3.19,0,0,0,0
410.4,-335.63,3.19,0,0,0,0
410.42,-337.51,3.19,0,0,0,0
410.44,-339.41,3.19,0,0,0,0
410.46,-341.33,3.19,0,0,0,0
410.48,-343.28,3.19,0,0,0,0
410.5,-345.26,3.19,0,0,0,0
410.52,-347.27,3.19,0,0,0,0
410.54,-349.3,3.18,0,0,0,0
410.56,-351.36,3.18,0,0,0,0
410.58,-353.44,3.18,0,0,0,0
410.6,-355.56,3.18,0,0,0,0
410.62,-357.71,3.18,0,0,0,0
410.64,-359.88,3.18,0,0,0,0
410.66,-362.09,3.18,0,0,0,0
410.68,-364.33,3.18,0,0,0,0
410.7,-366.6,3.17,0,0,0,0
410.72,-368.91,3.17,0,0,0,0
410.74,-371.25,3.17,0,0,0,0
410.76,-373.62,3.17,0,0,0,0
410.78,-376.03,3.17,0,0,0,0
410.8,-378.47,3.17,0,0,0,0
410.82,-380.96,3.17,0,0,0,0
410.84,-383.48,3.17,0,0,0,0
410.86,-386.04,3.16,0,0,0,0
410.88,-388.64,3.16,0,0,0,0
410.9,-391.28,3.16,0,0,0,0
410.92,-393.96,3.16,0,0,0,0
410.94,-396.69,3.16,0,0,0,0
410.96,-399.46,3.16,0,0,0,0
410.98,-402.27,3.16,0,0,0,0
411,-405.13,3.16,0,0,0,0
411.02,-408.04,3.16,0,0,0,0
411.04,-411,3.15,0,0,0,0
