Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
406.16000,-90.79,0.21,0.00,0.00
406.18000,-90.81,0.21,0.00,0.00
406.20000,-90.82,0.21,0.00,0.00
406.22000,-90.84,0.21,0.00,0.00
406.24000,-90.85,0.21,0.00,0.00
406.26000,-90.87,0.21,0.00,0.00
406.28000,-90.88,0.21,0.00,0.00
406.30000,-90.90,0.21,0.00,0.00
406.32000,-90.91,0.21,0.00,0.00
406.34000,-90.93,0.21,0.00,0.00
406.36000,-90.94,0.21,0.00,0.00
406.38000,-90.96,0.21,0.00,0.00
406.40000,-90.97,0.21,0.00,0.00
406.42000,-90.99,0.21,0.00,0.00
406.44000,-91.00,0.21,0.00,0.00
406.46000,-91.02,0.21,0.00,0.00
406.48000,-91.03,0.21,0.00,0.00
406.50000,-91.05,0.21,0.00,0.00
406.52000,-91.06,0.21,0.00,0.00
406.54000,-91.08,0.21,0.00,0.00
406.56000,-91.09,0.21,0.00,0.00
406.58000,-91.10,0.21,0.00,0.00
406.60000,-91.12,0.21,0.00,0.00
406.62000,-91.13,0.21,0.00,0.00
406.64000,-91.15,0.21,0.00,0.00
406.66000,-91.16,0.21,0.00,0.00
406.68000,-91.18,0.21,0.00,0.00
406.70000,-91.19,0.21,0.00,0.00
406.72000,-91.21,0.21,0.00,0.00
406.74000,-91.22,0.21,0.00,0.00
406.76000,-91.24,0.21,0.00,0.00
406.78000,-91.25,0.21,0.00,0.00
406.80000,-91.27,0.21,0.00,0.00
406.82000,-91.28,0.21,0.00,0.00
406.84000,-91.30,0.21,0.00,0.00
406.86000,-91.31,0.21,0.00,0.00
406.88000,-91.33,0.21,0.00,0.00
406.90000,-91.34,0.21,0.00,0.00
406.92000,-91.36,0.21,0.00,0.00
406.94000,-91.37,0.21,0.00,0.00
406.96000,-91.39,0.21,0.00,0.00
406.98000,-91.40,0.21,0.00,0.00
407.00000,-91.42,0.21,0.00,0.00
407.02000,-91.43,0.21,0.00,0.00
407.04000,-91.45,0.21,0.00,0.00
407.06000,-91.46,0.21,0.00,0.00
407.08000,-91.48,0.21,0.00,0.00
407.10000,-91.49,0.21,0.00,0.00
407.12000,-91.51,0.21,0.00,0.00
407.14000,-91.52,0.21,0.00,0.00
407.16000,-91.54,0.21,0.00,0.00
407.18000,-91.55,0.21,0.00,0.00
407.20000,-91.56,0.21,0.00,0.00
407.22000,-91.58,0.21,0.00,0.00
407.24000,-91.59,0.21,0.00,0.00
407.26000,-91.61,0.21,0.00,0.00
407.28000,-91.62,0.21,0.00,0.00
407.30000,-91.64,0.21,0.00,0.00
407.32000,-91.65,0.21,0.00,0.00
